KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000849001,T000849002,T000849003,T000849004,T000849005,T000849006,T000849007,T000849008,T000849009,T000849010,T000849011,T000849012,T000849013,T000849014,T000849015,T000849016,T000849017,T000849018,T000849019,T000849020,T000849021,T000849022,T000849023,T000849024,T000849025,T000849026,T000849027,T000849028,T000849029,T000849030,T000849031,T000849032,T000849033,T000849034,T000849035,T000849036,T000849037,T000849038,T000849039,T000849040,T000849041,T000849042,T000849043,T000849044,T000849045,T000849046,T000849047,T000849048,T000849049,T000849050,T000849051,T000849052,T000849053,T000849054,T000849055,T000849056,T000849057,T000849058,T000849059,T000849060
,,,,,,,総数、年齢「不詳」含む,　総数０～４歳,　総数５～９歳,　総数１０～１４歳,　総数１５～１９歳,　総数２０～２４歳,　総数２５～２９歳,　総数３０～３４歳,　総数３５～３９歳,　総数４０～４４歳,　総数４５～４９歳,　総数５０～５４歳,　総数５５～５９歳,　総数６０～６４歳,　総数６５～６９歳,　総数７０～７４歳,　総数１５歳未満,　総数１５～６４歳,　総数６５歳以上,　総数７５歳以上,男の総数、年齢「不詳」含む,　男０～４歳,　男５～９歳,　男１０～１４歳,　男１５～１９歳,　男２０～２４歳,　男２５～２９歳,　男３０～３４歳,　男３５～３９歳,　男４０～４４歳,　男４５～４９歳,　男５０～５４歳,　男５５～５９歳,　男６０～６４歳,　男６５～６９歳,　男７０～７４歳,　男１５歳未満,　男１５～６４歳,　男６５歳以上,　男７５歳以上,女の総数、年齢「不詳」含む,　女０～４歳,　女５～９歳,　女１０～１４歳,　女１５～１９歳,　女２０～２４歳,　女２５～２９歳,　女３０～３４歳,　女３５～３９歳,　女４０～４４歳,　女４５～４９歳,　女５０～５４歳,　女５５～５９歳,　女６０～６４歳,　女６５～６９歳,　女７０～７４歳,　女１５歳未満,　女１５～６４歳,　女６５歳以上,　女７５歳以上
15101,1,新潟市北区,,0,,,76328,2734,3187,3349,4270,3836,3539,3874,4755,5265,4691,4677,4798,6095,6568,4563,9270,45800,20806,9675,36973,1392,1693,1753,2168,1824,1807,1955,2444,2635,2329,2337,2385,2996,3191,2197,4838,22880,8995,3607,39355,1342,1494,1596,2102,2012,1732,1919,2311,2630,2362,2340,2413,3099,3377,2366,4432,22920,11811,6068
151010010,2,新潟市北区,水面,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151010020,2,新潟市北区,太郎代,0,,,699,11,17,31,29,24,23,23,19,46,44,37,48,62,81,76,59,355,285,128,348,3,11,18,20,15,12,13,11,23,24,20,24,29,40,36,32,191,125,49,351,8,6,13,9,9,11,10,8,23,20,17,24,33,41,40,27,164,160,79
151010030,2,新潟市北区,島見町,0,,,2013,32,55,57,80,73,69,61,94,103,124,139,125,178,216,166,144,1046,817,435,900,19,25,24,40,36,39,32,48,54,63,72,69,84,98,71,68,537,293,124,1113,13,30,33,40,37,30,29,46,49,61,67,56,94,118,95,76,509,524,311
151010040,2,新潟市北区,白勢町,0,,,109,-,2,6,4,1,9,5,3,4,10,9,8,7,12,12,8,60,41,17,54,-,1,4,2,-,4,3,2,1,7,4,5,4,6,4,5,32,17,7,55,-,1,2,2,1,5,2,1,3,3,5,3,3,6,8,3,28,24,10
151010050,2,新潟市北区,新富町,0,,,109,6,2,2,5,7,2,3,6,10,11,5,1,12,11,5,10,62,37,21,53,3,2,2,3,2,-,2,5,5,6,3,-,5,6,2,7,31,15,7,56,3,-,-,2,5,2,1,1,5,5,2,1,7,5,3,3,31,22,14
151010060,2,新潟市北区,東栄町,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151010070,2,新潟市北区,松栄町,0,,,71,-,1,-,2,5,3,1,4,-,3,4,9,6,8,5,1,37,33,20,38,-,-,-,2,5,3,-,2,-,-,3,5,3,5,1,-,23,15,9,33,-,1,-,-,-,-,1,2,-,3,1,4,3,3,4,1,14,18,11
151010080,2,新潟市北区,神谷内,0,,,508,14,13,18,15,24,17,14,32,34,27,33,18,52,54,39,45,266,197,104,232,5,8,8,9,13,6,9,15,14,16,15,11,24,28,18,21,132,79,33,276,9,5,10,6,11,11,5,17,20,11,18,7,28,26,21,24,134,118,71
